
table_name,column_name,data_type,is_nullable,column_default,foreign_table,foreign_column,policyname,policy_command,policy_condition,with_check,enum_name,enum_value
reactions,prophecy_id,uuid,YES,null,prophecies,id,User can delete their own reaction,DELETE,(auth.uid() = user_id),null,null,null
reactions,prophecy_id,uuid,YES,null,prophecies,id,Anyone can react,INSERT,null,(auth.uid() = user_id),null,null
reactions,prophecy_id,uuid,YES,null,prophecies,id,Anyone can read reactions,SELECT,true,null,null,null
reactions,type,USER-DEFINED,NO,null,null,null,User can delete their own reaction,DELETE,(auth.uid() = user_id),null,null,null
reactions,type,USER-DEFINED,NO,null,null,null,Anyone can react,INSERT,null,(auth.uid() = user_id),null,null
reactions,type,USER-DEFINED,NO,null,null,null,Anyone can read reactions,SELECT,true,null,null,null
reactions,user_id,uuid,YES,null,users,id,User can delete their own reaction,DELETE,(auth.uid() = user_id),null,null,null
reactions,user_id,uuid,YES,null,users,id,Anyone can read reactions,SELECT,true,null,null,null
reactions,user_id,uuid,YES,null,users,id,Anyone can react,INSERT,null,(auth.uid() = user_id),null,null
users,created_at,timestamp with time zone,YES,now(),null,null,User can read their own profile,SELECT,(auth.uid() = id),null,null,null
users,id,uuid,NO,null,users,id,User can read their own profile,SELECT,(auth.uid() = id),null,null,null
users,username,text,YES,null,null,null,User can read their own profile,SELECT,(auth.uid() = id),null,null,null
